bbsname,cname,ename,sname,shortname
灰面鵟鷹,灰面鵟鷹,Gray-faced Buzzard,Butastur indicus,"GFBU,BUIN"
東方澤鵟,東方澤鵟,Eastern Marsh-Harrier,Circus spilonotus,"EMHA,EAMH,CISP"
東方/巴布亞澤鵟,東方/巴布亞澤鵟,Eastern/Papuan Marsh-Harrier,Circus spilonotus/spilothorax,
灰澤鵟,灰澤鵟,Hen Harrier,Circus cyaneus,"HEHA,CICY"
花澤鵟,花澤鵟,Pied Harrier,Circus melanoleucos,"PIHA,CIME"
澤鵟屬(XX澤鵟),澤鵟屬,harrier sp.,Circus sp.,
鳳頭蒼鷹,鳳頭蒼鷹,Crested Goshawk,Accipiter trivirgatus,"CRGO,ACTR"
赤腹鷹,赤腹鷹,Chinese Sparrowhawk,Accipiter soloensis,"CHIS,CHSP,ACSO"
日本松雀鷹,日本松雀鷹,Japanese Sparrowhawk,Accipiter gularis,"JASP,ACGU"
松雀鷹,松雀鷹,Besra,Accipiter virgatus,"BESR,ACVI"
日本松雀鷹/松雀鷹,日本松雀鷹/松雀鷹,Japanese Sparrowhawk/Besra,Accipiter gularis/virgatus,"BESR,JASP,ACGU,ACVI"
鳳頭蒼鷹/松雀鷹,鳳頭蒼鷹/松雀鷹,Crested Goshawk/Besra,Accipiter trivirgatus/virgatus,"CRGO,BESR,ACTR,ACVI"
北雀鷹,北雀鷹,Eurasian Sparrowhawk,Accipiter nisus,"EUSP,ACNI"
蒼鷹,蒼鷹,Northern Goshawk,Accipiter gentilis,"NOGO,ACGE"
雀鷹屬(XX雀鷹),雀鷹屬,Accipiter sp.,Accipiter sp.,UAHA
黑鳶,黑鳶,Black Kite,Milvus migrans,"BLAK,BBKI,BLKI,MIMI"
栗鳶,栗鳶,Brahminy Kite,Haliastur indus,"BRKI,HAIN"
白尾海鵰,白尾海鵰,White-tailed Eagle,Haliaeetus albicilla,"WTEA,HAAL"
白腹海鵰,白腹海鵰,White-bellied Sea-Eagle,Haliaeetus leucogaster,"WBSE,HALE"
毛足鵟,毛足鵟,Rough-legged Hawk,Buteo lagopus,"RLHA,RLBU,BULA"
歐亞鵟,歐亞鵟,Common Buzzard,Buteo buteo,"COBU,STBU,BUBU"
東方鵟,東方鵟,Eastern Buzzard,Buteo japonicus,"EABU,BUJA"
大鵟,大鵟,Upland Buzzard,Buteo hemilasius,"UPBU,BUHE"
鵟屬(XX鵟),鵟屬,Buteo sp.,Buteo sp.,
鵟屬/鵰類,鵟屬/鵰類,Buteo/eagle sp.,Buteo/eagle sp.,
鷹科(鷹類)(XX鷹),鷹科(鷹類),hawk sp.,Accipitridae sp. (hawk sp.),UNHA
鷹科(鵰類)(XX鷹),鷹科(鵰類),eagle sp.,Accipitridae sp. (eagle sp.),
草鴞,草鴞,Australasian Grass-Owl,Tyto longimembris,"AGOW,AUGO,EGOW,TYLO"
黃嘴角鴞,黃嘴角鴞,Mountain Scops-Owl,Otus spilocephalus,"MSOW,MOSO,OTSP"
領角鴞,領角鴞,Collared Scops-Owl,Otus lettia,"COSO,CSOW,OTLE"
蘭嶼角鴞,蘭嶼角鴞,Ryukyu Scops-Owl,Otus elegans,"RYSO,RSOW,OTEL"
東方角鴞,東方角鴞,Oriental Scops-Owl,Otus sunia,"ORSO,OSOW,OTSU"
角鴞屬(XX角鴞),角鴞屬,scops-owl sp.,Otus sp.,
鵰鴞,鵰鴞,Eurasian Eagle-Owl,Bubo bubo,"EEOW,EUEO,BUBU"
黃魚鴞,黃魚鴞,Tawny Fish-Owl,Ketupa flavipes,"TFOW,TAFO,KEFL"
鵂鶹,鵂鶹,Collared Owlet,Glaucidium brodiei,"COOW,GLBR"
褐林鴞,褐林鴞,Brown Wood-Owl,Strix leptogrammica,"BWOW,BRWO,STLE"
東方灰林鴞,東方灰林鴞,Himalayan Owl,Strix nivicolum,"HIOW,STNI"
長耳鴞,長耳鴞,Long-eared Owl,Asio otus,"LEOW,ASOT"
短耳鴞,短耳鴞,Short-eared Owl,Asio flammeus,"SEOW,PUEO,ASFL"
長/短耳鴞,長/短耳鴞,Long-eared/Short-eared Owl,Asio otus/flammeus,
褐鷹鴞,褐鷹鴞,Northern Boobook,Ninox japonica,"NOBB,NOBO,NIJA"
鴟鴞類(XX貓頭鷹),鴟鴞類,owl sp.,Strigiformes sp.,UNOW
戴勝,戴勝,Eurasian Hoopoe,Upupa epops,"EHOO,HOOP,EUHO,UPEP"
翠鳥,翠鳥,Common Kingfisher,Alcedo atthis,"COKI,ALAT"
赤翡翠,赤翡翠,Ruddy Kingfisher,Halcyon coromanda,"RUKI,HACO"
蒼翡翠,蒼翡翠,White-throated Kingfisher,Halcyon smyrnensis,"SMKI,WTKI,HASM"
黑頭翡翠,黑頭翡翠,Black-capped Kingfisher,Halcyon pileata,"BCKI,HAPI"
白領翡翠,白領翡翠,Collared Kingfisher,Todiramphus chloris,"COKI,TOCH"
斑翡翠,斑翡翠,Pied Kingfisher,Ceryle rudis,"PIKI,CERU"
藍喉蜂虎,藍喉蜂虎,Blue-throated Bee-eater,Merops viridis,"IBTB,BTBE,MEVI"
藍頰蜂虎,藍頰蜂虎,Blue-cheeked Bee-eater,Merops persicus,"BCBE,MEPE"
栗喉蜂虎,栗喉蜂虎,Blue-tailed Bee-eater,Merops philippinus,"BTBE,MEPH"
彩虹蜂虎,彩虹蜂虎,Rainbow Bee-eater,Merops ornatus,"RABE,RBEA,MEOR"
佛法僧,佛法僧,Dollarbird,Eurystomus orientalis,"ORDO,DOLL,EUOR"
五色鳥,五色鳥,Taiwan Barbet,Psilopogon nuchalis,"TABA,PSNU"
台灣擬啄木,五色鳥,Taiwan Barbet,Psilopogon nuchalis,"TABA,PSNU"
地啄木,地啄木,Eurasian Wryneck,Jynx torquilla,"EUWR,JYTO"
小啄木,小啄木,Gray-capped Woodpecker,Yungipicus canicapillus,"GCWO,GCPW,YUCA"
大赤啄木,大赤啄木,White-backed Woodpecker,Dendrocopos leucotos,"WBWO,DELE"
綠啄木,綠啄木,Gray-headed Woodpecker,Picus canus,"GHWO,PICA"
綠啄木屬,綠啄木屬,Picus sp.,Picus sp.,
啄木鳥科(XX啄木),啄木鳥科,woodpecker sp.,Picidae sp.,UNWO
紅隼,紅隼,Eurasian Kestrel,Falco tinnunculus,"EUKE,COKE,FATI"
紅腳隼,紅腳隼,Amur Falcon,Falco amurensis,"AMFA,FAAM"
灰背隼,灰背隼,Merlin,Falco columbarius,"MERL,FACO"
燕隼,燕隼,Eurasian Hobby,Falco subbuteo,"EHOB,EUHO,FASU"
遊隼,遊隼,Peregrine Falcon,Falco peregrinus,"PEFA,FAPE"
大型隼(XX隼),大型隼,large falcon sp.,Falco sp. (large falcon sp.),
小型隼(XX隼),小型隼,small falcon sp.,Falco sp. (small falcon sp.),
隼屬(XX隼),隼屬,falcon sp.,Falco sp.,
日行性猛禽類(XX猛禽),日行性猛禽類,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,
戈芬氏鳳頭鸚鵡,戈芬氏鳳頭鸚鵡,Tanimbar Corella,Cacatua goffiniana,"TACO,CAGO"
葵花鳳頭鸚鵡,葵花鳳頭鸚鵡,Sulphur-crested Cockatoo,Cacatua galerita,"SCCO,CAGA"
白鳳頭鸚鵡,白鳳頭鸚鵡,White Cockatoo,Cacatua alba,"WHCO,CAAL"
鳳頭鸚鵡屬(XX鳳頭鸚鵡),鳳頭鸚鵡屬,corella/cockatoo sp.,Cacatua sp.,
雞尾鸚鵡(馴化),雞尾鸚鵡(馴化),Cockatiel (Domestic type),Nymphicus hollandicus (Domestic type),"COCK,NYHO"
亞歷山大鸚鵡,亞歷山大鸚鵡,Alexandrine Parakeet,Psittacula eupatria,"ALPA,PSEU"
紅領綠鸚鵡,紅領綠鸚鵡,Rose-ringed Parakeet,Psittacula krameri,"RRPA,RNPA,PSKR"
虎皮鸚鵡(馴化),虎皮鸚鵡(馴化),Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),"BUDG,MEUN"
紅色吸蜜鸚鵡,紅色吸蜜鸚鵡,Red Lory,Eos bornea,"RELO,EOBO"
紅領吸蜜鸚鵡,紅領吸蜜鸚鵡,Red-collared Lorikeet,Trichoglossus rubritorquis,"RALO,RCLO,TRRU"
彩虹吸蜜鸚鵡,彩虹吸蜜鸚鵡,Rainbow Lorikeet,Trichoglossus moluccanus,"RALO,TRMO"
彩虹吸蜜鸚鵡複合群,彩虹吸蜜鸚鵡複合群,rainbow lorikeet sp.,Trichoglossus sp. (rainbow lorikeet complex),
費氏愛情鳥,費氏愛情鳥,Fischer's Lovebird,Agapornis fischeri,"FILO,AGFI"
灰鸚鵡,灰鸚鵡,Gray Parrot,Psittacus erithacus,"GRPA,PSER"
和尚鸚鵡,和尚鸚鵡,Monk Parakeet,Myiopsitta monachus,"MOPA,MYMO"
小型鸚鵡類(XX鸚鵡),小型鸚鵡類,parakeet sp.,Psittaciformes sp. (parakeet sp.),
大型鸚鵡類(XX鸚鵡),大型鸚鵡類,parrot sp.,Psittaciformes sp. (parrot sp.),
藍翅八色鳥,藍翅八色鳥,Blue-winged Pitta,Pitta moluccensis,"BWPI,PIMO"
八色鳥,八色鳥,Fairy Pitta,Pitta nympha,"FAPI,PINY"
綠胸八色鳥,綠胸八色鳥,Hooded Pitta,Pitta sordida,"HOPI,PISO"
灰喉山椒鳥,灰喉山椒鳥,Gray-chinned Minivet,Pericrocotus solaris,"GCMI,PESO"
赤紅山椒鳥,赤紅山椒鳥,Scarlet Minivet,Pericrocotus speciosus,"SCMI,PESP"
琉球山椒鳥,琉球山椒鳥,Ryukyu Minivet,Pericrocotus tegimae,"RYMI,PETE"
灰山椒鳥,灰山椒鳥,Ashy Minivet,Pericrocotus divaricatus,"ASMI,PEDI"
琉球/灰山椒鳥,琉球/灰山椒鳥,Ryukyu/Ashy Minivet,Pericrocotus tegimae/divaricatus,
小灰山椒鳥,小灰山椒鳥,Brown-rumped Minivet,Pericrocotus cantonensis,"BRMI,SWMI,PECA"
灰/小灰山椒鳥,灰/小灰山椒鳥,Ashy/Brown-rumped Minivet,Pericrocotus divaricatus/cantonensis,
山椒鳥屬(XX山椒鳥),山椒鳥屬,minivet sp.,Pericrocotus sp.,
花翅山椒鳥,花翅山椒鳥,Large Cuckooshrike,Coracina macei,"LACU,COMA"
黑翅山椒鳥,黑翅山椒鳥,Black-winged Cuckooshrike,Lalage melaschistos,"BWCU,LAME"
綠畫眉,綠畫眉,White-bellied Erpornis,Erpornis zantholeuca,"WBER,ERZA"
黃鸝,黃鸝,Black-naped Oriole,Oriolus chinensis,"BNOR,ORCH"
朱鸝,朱鸝,Maroon Oriole,Oriolus traillii,"MAOR,ORTR"
大卷尾,大卷尾,Black Drongo,Dicrurus macrocercus,"BLDR,DIMA"
灰卷尾,灰卷尾,Ashy Drongo,Dicrurus leucophaeus,"ASDR,DILE"
大卷尾/灰卷尾,大卷尾/灰卷尾,Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus,
鴉嘴卷尾,鴉嘴卷尾,Crow-billed Drongo,Dicrurus annectens,"CBDR,DIAN"
小卷尾,小卷尾,Bronzed Drongo,Dicrurus aeneus,"BRDR,DIAE"
髮冠卷尾,髮冠卷尾,Hair-crested Drongo,Dicrurus hottentottus,"HCDR,DIHO"
卷尾屬(XX卷尾),卷尾屬,drongo sp.,Dicrurus sp.,
黑枕藍鶲,黑枕藍鶲,Black-naped Monarch,Hypothymis azurea,"BNMO,HYAZ"
紫綬帶,紫綬帶,Japanese Paradise-Flycatcher,Terpsiphone atrocaudata,"JPFL,JAPF,TEAT"
阿穆爾綬帶,阿穆爾綬帶,Amur Paradise-Flycatcher,Terpsiphone incei,"AMPF,APFL,TEIN"
日本/阿穆爾綬帶,日本/阿穆爾綬帶,Japanese/Amur Paradise-Flycatcher,Terpsiphone atrocaudata/incei,
虎紋伯勞,虎紋伯勞,Tiger Shrike,Lanius tigrinus,"TISH,LATI"
紅頭伯勞,紅頭伯勞,Bull-headed Shrike,Lanius bucephalus,"BHSH,LABU"
紅背伯勞,紅背伯勞,Red-backed Shrike,Lanius collurio,"RBSH,LACO"
紅尾伯勞,紅尾伯勞,Brown Shrike,Lanius cristatus,"BROS,BRSH,LACR"
紅尾伯勞(日本),紅尾伯勞(日本),Brown Shrike (Japanese),Lanius cristatus superciliosus,"BRSH,BROS,LACR"
紅尾伯勞(灰頭),紅尾伯勞(灰頭),Brown Shrike (Philippine),Lanius cristatus lucionensis,"BRSH,BROS,LACR"
栗背伯勞,栗背伯勞,Burmese Shrike,Lanius collurioides,"BUSH,LACO"
棕背伯勞,棕背伯勞,Long-tailed Shrike,Lanius schach,"LTSH,LASC"
楔尾伯勞,楔尾伯勞,Chinese Gray Shrike,Lanius sphenocercus,"CGSH,LASP"
伯勞屬(XX伯勞),伯勞屬,shrike sp.,Lanius sp.,
松鴉,松鴉,Eurasian Jay,Garrulus glandarius,"EUJA,GAGL"
灰喜鵲,灰喜鵲,Azure-winged Magpie,Cyanopica cyanus,"AWMA,CYCY"
台灣藍鵲,台灣藍鵲,Taiwan Blue-Magpie,Urocissa caerulea,"TBMA,TABM,URCA"
紅嘴藍鵲,紅嘴藍鵲,Red-billed Blue-Magpie,Urocissa erythroryncha,"RBBM,URER"
樹鵲,樹鵲,Gray Treepie,Dendrocitta formosae,"GRTR,DEFO"
喜鵲,喜鵲,Oriental Magpie,Pica serica,"ORMA,PISE"
星鴉,星鴉,Eurasian Nutcracker,Nucifraga caryocatactes,"SPNU,EUNU,NUCA"
東方寒鴉,東方寒鴉,Daurian Jackdaw,Corvus dauuricus,"DAJA,CODA"
家烏鴉,家烏鴉,House Crow,Corvus splendens,"HOCR,COSP"
禿鼻鴉,禿鼻鴉,Rook,Corvus frugilegus,"ROOK,COFR"
小嘴烏鴉,小嘴烏鴉,Carrion Crow,Corvus corone,"CACR,COCO"
巨嘴鴉,巨嘴鴉,Large-billed Crow,Corvus macrorhynchos,"LBJJ,LBCR,COMA"
玉頸鴉,玉頸鴉,Collared Crow,Corvus pectoralis,"COCR,COPE"
鴉屬(XX鴉),鴉屬(烏鴉/渡鴉),crow/raven sp.,Corvus sp.,
方尾鶲,方尾鶲,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,"GHCF,CUCE"
煤山雀,煤山雀,Coal Tit,Periparus ater,"COTI,PEAT"
黃腹山雀,黃腹山雀,Yellow-bellied Tit,Periparus venustulus,"YBTI,PEVE"
赤腹山雀,赤腹山雀,Chestnut-bellied Tit,Sittiparus castaneoventris,"CBTI,SICA"
雜色山雀,雜色山雀,Varied Tit,Sittiparus varius,"VATI,SIVA"
山雀類(XX山雀),山雀類,chickadee sp.,Poecile sp.,UPCH
青背山雀,青背山雀,Green-backed Tit,Parus monticolus,"GBTI,PAMO"
白頰山雀,白頰山雀,Japanese Tit,Parus minor,"JATI,PAMI"
黃山雀,黃山雀,Taiwan Yellow Tit,Machlolophus holsti,"YETI,TYTI,MAHO"
攀雀,攀雀,Chinese Penduline-Tit,Remiz consobrinus,"CPTI,CHPT,RECO"
大短趾百靈,大短趾百靈,Greater Short-toed Lark,Calandrella brachydactyla,"GSTL,CABR"
賽氏短趾百靈,賽氏短趾百靈,Sykes's Short-toed Lark,Calandrella dukhunensis,"MSTL,ESTL,SSTL,CADU"
大/賽氏短趾百零,大/賽氏短趾百零,Greater/Sykes's Short-toed Lark,Calandrella brachydactyla/dukhunensis,
百靈屬(XX百靈),百靈屬,Calandrella sp.,Calandrella sp.,
亞洲短趾百靈,亞洲短趾百靈,Asian Short-toed Lark,Alaudala cheleensis,"ASTL,ALCH"
大/亞洲/小短趾百靈,大/亞洲/小短趾百靈,Greater/Asian/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala cheleensis/rufescens,
大/小短趾百零,大/小短趾百零,Greater/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala rufescens,
亞洲/小短趾百靈,亞洲/小短趾百靈,Asian/Lesser Short-toed Lark,Alaudala cheleensis/rufescens,
短趾百靈類,短趾百靈類,Calandrella/Alaudala sp.,Calandrella/Alaudala sp.,
歐亞雲雀,歐亞雲雀,Eurasian Skylark,Alauda arvensis,"EUSK,SKYL,ALAR"
小雲雀,小雲雀,Oriental Skylark,Alauda gulgula,"ORSK,ALGU"
歐亞/小雲雀,歐亞/小雲雀,Eurasian/Oriental Skylark,Alauda arvensis/gulgula,"EUSK,SKYL,ORSK,ALAR,ALGU"
百靈科(XX百靈),百靈科,lark sp.,Alaudidae sp.,
斑紋鷦鶯,斑紋鷦鶯,Striated Prinia,Prinia crinigera,"STPR,PRCR"
灰頭鷦鶯,灰頭鷦鶯,Yellow-bellied Prinia,Prinia flaviventris,"YBPR,PRFL"
褐頭鷦鶯,褐頭鷦鶯,Plain Prinia,Prinia inornata,"PLPR,PRIN"
鷦鶯屬(XX鷦鶯),鷦鶯屬,prinia sp.,Prinia sp.,
棕扇尾鶯,棕扇尾鶯,Zitting Cisticola,Cisticola juncidis,"ZICI,CIJU"
黃頭扇尾鶯,黃頭扇尾鶯,Golden-headed Cisticola,Cisticola exilis,"GHCI,CIEX"
扇尾鶯屬(XX扇尾鶯),扇尾鶯屬,cisticola sp.,Cisticola sp.,
厚嘴葦鶯,厚嘴葦鶯,Thick-billed Warbler,Arundinax aedon,"TBWA,ARAE"
靴籬鶯,靴籬鶯,Booted Warbler,Iduna caligata,"BOWA,IDCA"
雙眉葦鶯,雙眉葦鶯,Black-browed Reed Warbler,Acrocephalus bistrigiceps,"BBRW,ACBI"
細紋葦鶯,細紋葦鶯,Streaked Reed Warbler,Acrocephalus sorghophilus,"SRWA,ACSO"
稻田葦鶯,稻田葦鶯,Paddyfield Warbler,Acrocephalus agricola,"PAWA,ACAG"
鈍翅葦鶯,鈍翅葦鶯,Blunt-winged Warbler,Acrocephalus concinens,"BWWA,ACCO"
遠東葦鶯,遠東葦鶯,Manchurian Reed Warbler,Acrocephalus tangorum,"MRWA,ACTA"
布氏葦鶯,布氏葦鶯,Blyth's Reed Warbler,Acrocephalus dumetorum,"BREW,BRWA,ACDU"
東方大葦鶯,東方大葦鶯,Oriental Reed Warbler,Acrocephalus orientalis,"ORWA,ACOR"
葦鶯屬(XX葦鶯),葦鶯屬,Acrocephalus sp.,Acrocephalus sp.,
蒼眉蝗鶯,蒼眉蝗鶯,Gray's Grasshopper-Warbler,Locustella fasciolata,"GRGW,GGWA,LOFA"
庫頁島蝗鶯,庫頁島蝗鶯,Sakhalin Grasshopper-Warbler,Locustella amnicola,"SAGW,SGWA,LOAM"
蒼眉/庫頁島蝗鶯,蒼眉/庫頁島蝗鶯,Gray's/Sakhalin Grasshopper-Warbler,Locustella fasciolata/amnicola,
小蝗鶯,小蝗鶯,Pallas's Grasshopper-Warbler,Locustella certhiola,"PGWA,PAGW,LOCE"
北蝗鶯,北蝗鶯,Middendorff's Grasshopper-Warbler,Locustella ochotensis,"MIGW,MGWA,LOOC"
史氏蝗鶯,史氏蝗鶯,Pleske's Grasshopper-Warbler,Locustella pleskei,"SGWA,PGWA,PLGW,LOPL"
北蝗鶯/史氏蝗鶯,北蝗鶯/史氏蝗鶯,Middendorff's/Pleske's Grasshopper-Warbler,Locustella ochotensis/pleskei,
矛斑蝗鶯,矛斑蝗鶯,Lanceolated Warbler,Locustella lanceolata,"LANW,LAWA,LOLA"
台灣叢樹鶯,台灣叢樹鶯,Taiwan Bush Warbler,Locustella alishanensis,"TBWA,LOAL"
赤褐蝗鶯,赤褐蝗鶯,Russet Bush Warbler,Locustella mandelli,"RBWA,LOMA"
蝗鶯屬(XX蝗鶯),蝗鶯屬,Locustella sp.,Locustella sp.,
台灣鷦眉,台灣鷦眉,Taiwan Cupwing,Pnoepyga formosana,"TACU,PNFO"
鱗胸鷦鷯,台灣鷦眉,Taiwan Cupwing,Pnoepyga formosana,"TACU,PNFO"
棕沙燕,棕沙燕,Gray-throated Martin,Riparia chinensis,"GTMA,APMA,RICH"
灰沙燕,灰沙燕,Bank Swallow,Riparia riparia,"BANS,SAMA,BASW,CSMA,RIRI"
棕沙燕/灰沙燕,棕沙燕/灰沙燕,Gray-throated Martin/Bank Swallow,Riparia chinensis/riparia,
沙燕屬,沙燕屬,Riparia sp.,Riparia sp.,
家燕,家燕,Barn Swallow,Hirundo rustica,"BARS,BASW,HIRU"
洋燕,洋燕,Pacific Swallow,Hirundo tahitica,"PASW,HITA"
家/洋燕,家/洋燕,Barn/Pacific Swallow,Hirundo rustica/tahitica,"PASW,BASW,BARS,HIRU,HITA"
金腰燕,金腰燕,Red-rumped Swallow,Cecropis daurica,"RRAS,RRSW,CEDA"
赤腰燕,赤腰燕,Striated Swallow,Cecropis striolata,"STSW,CEST"
金腰/赤腰燕,金腰/赤腰燕,Red-rumped/Striated Swallow,Cecropis daurica/striolata,"RRAS,RRSW,STSW,CEST,CEDA"
白腹毛腳燕,白腹毛腳燕,Common House-Martin,Delichon urbicum,"COHM,CHMA,DEUR"
東方毛腳燕,東方毛腳燕,Asian House-Martin,Delichon dasypus,"ASHM,AHMA,DEDA"
白腹/東方毛腳燕(XX毛腳燕),白腹/東方毛腳燕,Common/Asian House-Martin,Delichon urbicum/dasypus,
燕科(XX燕),燕科,swallow sp.,Hirundinidae sp.,UNSW
白環鸚嘴鵯,白環鸚嘴鵯,Collared Finchbill,Spizixos semitorques,"COFI,SPSE"
烏頭翁,烏頭翁,Styan's Bulbul,Pycnonotus taivanus,"STBU,PYTA"
紅耳鵯,紅耳鵯,Red-whiskered Bulbul,Pycnonotus jocosus,"RWBU,PYJO"
白頭翁,白頭翁,Light-vented Bulbul,Pycnonotus sinensis,"LVBU,PYSI"
雜頭翁,雜頭翁,Styan's x Light-vented Bulbul (hybrid),Pycnonotus taivanus x sinensis,"LVBU,STBU,PYSI,PYTA"
烏頭/白頭翁,烏頭/白頭翁,Styan's/Light-vented Bulbul,Pycnonotus taivanus/sinensis,"STBU,LVBU,PYSI,PYTA"
白喉紅臀鵯,白喉紅臀鵯,Sooty-headed Bulbul,Pycnonotus aurigaster,"SHBU,PYAU"
鵯屬,鵯屬,Pycnonotus sp.,Pycnonotus sp.,
紅嘴黑鵯,紅嘴黑鵯,Black Bulbul,Hypsipetes leucocephalus,"HBBU,BLBU,HYLE"
紅嘴黑鵯(白頭),紅嘴黑鵯(白頭),Black Bulbul (leucocephalus Group),Hypsipetes leucocephalus [leucocephalus Group],
棕耳鵯,棕耳鵯,Brown-eared Bulbul,Hypsipetes amaurotis,"BEBU,HYAM"
栗背短腳鵯,栗背短腳鵯,Chestnut Bulbul,Hemixos castanonotus,"CHBU,HECA"
林柳鶯,林柳鶯,Wood Warbler,Phylloscopus sibilatrix,"WOWA,PHSI"
黃眉柳鶯,黃眉柳鶯,Yellow-browed Warbler,Phylloscopus inornatus,"YBWA,PHIN"
淡眉柳鶯,淡眉柳鶯,Hume's Warbler,Phylloscopus humei,"HUWA,HLWA,PHHU"
黃眉/淡眉柳鶯,黃眉/淡眉柳鶯,Yellow-browed/Hume's Warbler,Phylloscopus inornatus/humei,
雲南柳鶯,雲南柳鶯,Chinese Leaf Warbler,Phylloscopus yunnanensis,"CLWA,PHYU"
黃腰柳鶯,黃腰柳鶯,Pallas's Leaf Warbler,Phylloscopus proregulus,"PLEW,PAWA,PLWA,PHPR"
巨嘴柳鶯,巨嘴柳鶯,Radde's Warbler,Phylloscopus schwarzi,"RAWA,PHSC"
棕眉柳鶯,棕眉柳鶯,Yellow-streaked Warbler,Phylloscopus armandii,"YSWA,PHAR"
黃腹柳鶯,黃腹柳鶯,Tickell's Leaf Warbler,Phylloscopus affinis,"TLWA,PHAF"
褐色柳鶯,褐色柳鶯,Dusky Warbler,Phylloscopus fuscatus,"DUWA,PHFU"
巨嘴/褐色柳鶯,巨嘴/褐色柳鶯,Radde's/Dusky Warbler,Phylloscopus schwarzi/fuscatus,
棕腹柳鶯,棕腹柳鶯,Buff-throated Warbler,Phylloscopus subaffinis,"BTWA,PHSU"
歐亞柳鶯,歐亞柳鶯,Willow Warbler,Phylloscopus trochilus,"WILW,WIWA,PHTR"
東方嘰咋柳鶯,東方嘰咋柳鶯,Mountain Chiffchaff,Phylloscopus sindianus,"MOCH,PHSI"
嘰喳柳鶯,嘰喳柳鶯,Common Chiffchaff,Phylloscopus collybita,"CCHI,COCH,PHCO"
歐亞/嘰喳柳鶯,歐亞/嘰喳柳鶯,Willow Warbler/Common Chiffchaff,Phylloscopus trochilus/collybita,
冠羽柳鶯,冠羽柳鶯,Eastern Crowned Warbler,Phylloscopus coronatus,"ECWA,PHCO"
飯島柳鶯,飯島柳鶯,Ijima's Leaf Warbler,Phylloscopus ijimae,"ILWA,PHIJ"
白眶鶲鶯,白眶鶲鶯,White-spectacled Warbler,Phylloscopus intermedius,"WSWA,PHIN"
比氏鶲鶯,比氏鶲鶯,Bianchi's Warbler,Phylloscopus valentini,"BIWA,PHVA"
淡尾鶲鶯,淡尾鶲鶯,Alström's Warbler,Phylloscopus soror,"ALWA,PHSO"
金眶鶲鶯複合群,金眶鶲鶯複合群,Phylloscopus sp. (Golden-spectacled Warbler complex),Phylloscopus sp. (burkii complex),
暗綠柳鶯,暗綠柳鶯,Greenish Warbler,Phylloscopus trochiloides,"GRWA,PHTR"
雙斑綠柳鶯,雙斑綠柳鶯,Two-barred Warbler,Phylloscopus plumbeitarsus,"TBWA,PHPL"
暗綠/雙斑綠柳鶯,暗綠/雙斑綠柳鶯,Greenish/Two-barred Warbler,Phylloscopus trochiloides/plumbeitarsus,
淡腳柳鶯,淡腳柳鶯,Pale-legged Leaf Warbler,Phylloscopus tenellipes,"PLLW,PHTE"
庫頁島柳鶯,庫頁島柳鶯,Sakhalin Leaf Warbler,Phylloscopus borealoides,"SLWA,PHBO"
淡腳/庫頁島柳鶯,淡腳/庫頁島柳鶯,Pale-legged/Sakhalin Leaf Warbler,Phylloscopus tenellipes/borealoides,
日本柳鶯,日本柳鶯,Japanese Leaf Warbler,Phylloscopus xanthodryas,"JLWA,PHXA"
極北柳鶯,極北柳鶯,Arctic Warbler,Phylloscopus borealis,"ARWA,PHBO"
日本/極北柳鶯,日本/極北柳鶯,Japanese Leaf/Arctic Warbler,Phylloscopus xanthodryas/borealis,
勘察加柳鶯,勘察加柳鶯,Kamchatka Leaf Warbler,Phylloscopus examinandus,"KLWA,PHEX"
極北/勘察加柳鶯,極北/勘察加柳鶯,Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus,"AKLW,KLWA,ARWA,PHBO,PHEX"
日本/極北/勘察加柳鶯,日本/極北/勘察加柳鶯,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Phylloscopus xanthodryas/borealis/examinandus,
栗頭鶲鶯,栗頭鶲鶯,Chestnut-crowned Warbler,Phylloscopus castaniceps,"CCWA,PHCA"
黑眉柳鶯,黑眉柳鶯,Sulphur-breasted Warbler,Phylloscopus ricketti,"SBWA,PHRI"
克氏冠紋柳鶯,克氏冠紋柳鶯,Claudia's Leaf Warbler,Phylloscopus claudiae,"CLWA,PHCL"
哈氏冠紋柳鶯,哈氏冠紋柳鶯,Hartert's Leaf Warbler,Phylloscopus goodsoni,"HLWA,PHGO"
克氏/哈氏/布氏冠紋柳鶯,克氏/哈氏/布氏冠紋柳鶯,Blyth's/Claudia's/Hartert's Leaf Warbler,Phylloscopus reguloides/claudiae/goodsoni,
柳鶯屬(XX柳鶯),柳鶯屬,Phylloscopus sp.,Phylloscopus sp.,
短尾鶯,短尾鶯,Asian Stubtail,Urosphena squameiceps,"ASST,URSQ"
棕面鶯,棕面鶯,Rufous-faced Warbler,Abroscopus albogularis,"RFWA,ABAL"
日本樹鶯,日本樹鶯,Japanese Bush Warbler,Horornis diphone,"JABW,JBWA,HODI"
