bbsname,cname,ename,sname,shortname
銹胸藍姬鶲,銹胸藍姬鶲,Slaty-backed Flycatcher,Ficedula erithacus,"SBFL,FIER"
黃胸青鶲,黃胸青鶲,Snowy-browed Flycatcher,Ficedula hyperythra,"SBFL,FIHY"
橙胸姬鶲,橙胸姬鶲,Rufous-gorgeted Flycatcher,Ficedula strophiata,"RGFL,FIST"
紅喉鶲,紅喉鶲,Taiga Flycatcher,Ficedula albicilla,"TAFL,FIAL"
紅胸鶲,紅胸鶲,Red-breasted Flycatcher,Ficedula parva,"RBFL,FIPA"
紅喉/紅胸鶲,紅喉/紅胸鶲,Taiga/Red-breasted Flycatcher,Ficedula albicilla/parva,"RBFL,TAFL,FIPA,FIAL"
姬鶲屬,姬鶲屬,Ficedula sp.,Ficedula sp.,
藍額紅尾鴝,藍額紅尾鴝,Blue-fronted Redstart,Phoenicurus frontalis,"BFRE,PHFR"
鉛色水鶇,鉛色水鶇,Plumbeous Redstart,Phoenicurus fuliginosus,"PLRE,PWRE,PHFU"
白頂溪鴝,白頂溪鴝,White-capped Redstart,Phoenicurus leucocephalus,"WCRE,PHLE"
赭紅尾鴝,赭紅尾鴝,Black Redstart,Phoenicurus ochruros,"BLRE,PHOC"
黃尾鴝,黃尾鴝,Daurian Redstart,Phoenicurus auroreus,"DARE,PHAU"
白喉磯鶇,白喉磯鶇,White-throated Rock-Thrush,Monticola gularis,"WTRT,MOGU"
藍磯鶇,藍磯鶇,Blue Rock-Thrush,Monticola solitarius,"BLRT,BRTH,MOSO"
藍磯鶇(藍腹),藍磯鶇(藍腹),Blue Rock-Thrush (pandoo),Monticola solitarius pandoo,"BLRT,BRTH,MOSO"
藍磯鶇(栗腹),藍磯鶇(栗腹),Blue Rock-Thrush (philippensis),Monticola solitarius philippensis,
黑喉鴝,黑喉鴝,Siberian Stonechat,Saxicola maurus,"SIST,SAMA"
白斑黑石䳭,白斑黑石䳭,Pied Bushchat,Saxicola caprata,"PIBU,PBCH,PIST,SACA"
灰叢鴝,灰叢鴝,Gray Bushchat,Saxicola ferreus,"GBCH,GRBU,SAFE"
穗䳭,穗䳭,Northern Wheatear,Oenanthe oenanthe,"NOWH,OEOE"
沙䳭,沙䳭,Isabelline Wheatear,Oenanthe isabellina,"ISWH,OEIS"
