中文名,學名,英文名,科名
黑臉鵐,Emberiza spodocephala,Black-faced Bunting,鵐科 Emberizidae
鏽鵐,Emberiza rutila,Chestnut Bunting,鵐科 Emberizidae
黃眉鵐,Emberiza chrysophrys,Yellow-browed Bunting,鵐科 Emberizidae
白眉鵐,Emberiza tristrami,Tristram's Bunting,鵐科 Emberizidae
灰鵐,Emberiza variabilis,Gray Bunting,鵐科 Emberizidae
稀樹草鵐,Passerculus sandwichensis,Savannah Sparrow,雀鵐科 Passerellidae
小加拿大雁,Branta hutchinsii ,Cackling Goose,雁鴨科 Anatidae
大紅鸛,Phoenicopterus roseus,Greater Flamingo,紅鶴科 Phoenicopteridae
喜馬拉雅中杜鵑,Cuculus saturatus,Himalayan Cuckoo,杜鵑科 Cuculidae
灰腰金絲燕,Collocalia marginata,Gray-rumped Swiftlet,雨燕科 Apodidae 
傑曼氏金絲燕,Aerodramus germani,Germain's Swiftlet,雨燕科 Apodidae 
日本叉尾海燕,Oceanodroma matsudairae,Matsudaira's Storm-Petrel,海燕科 Hydrobatidae
克島圓尾穴鳥,Pterodroma neglecta,Kermadec Petrel,鸌科 Procellariidae
褐耳鷹,Accipiter badius,Shikra,鷹科 Accipitridae
鵰鴞,Bubo bubo,Eurasian Eagle-Owl,鴟鴞科 Strigidae
黃爪隼,Falco naumanni,Lesser Kestrel,隼科 Falconidae
白胸燕鵙,Artamus leucorynchus,White-breasted Woodswallow,燕鵙科 Artamidae
蒙古百靈,Melanocorypha mongolica,Mongolian Lark,百靈科 Alaudidae
褐頭鶇,Turdus feae,Gray-sided Thrush,鶇科 Turdidae
酒紅朱雀,Carpodacus vinaceus,Vinaceous Rosefinch,雀科 Fringillidae
斑馬鳩,Geopelia striata,Zebra Dove,鳩鴿科 Columbidae
葵花鳳頭鸚鵡,Cacatua galerita,Sulphur-crested Cockatoo,鳳頭鸚鵡科 Cacatuidae
紅領綠鸚鵡,Psittacula krameri,Rose-ringed Parakeet,鸚鵡科 Psittacidae
紅耳鵯,Pycnonotus jocosus,Red-whiskered Bulbul,鵯科 Pycnonotidae
白頰噪眉,Ianthocincla sannio,White-browed Laughingthrush,噪眉科 Leiothrichidae
葡萄胸椋鳥,Acridotheres burmannicus,Vinous-breasted Starling,八哥科 Sturnidae
黑頭織雀,Ploceus cucullatus,Village Weaver,織布鳥科 Ploceidae
橫斑梅花雀,Estrilda astrild,Common Waxbill,梅花雀科 Estrildidae
