中文名,學名,英文名,科名
白頸黑鷺,Egretta picata,Pied Heron,鷺科 Ardeidae
黃頭鷺,Bubulcus ibis,Cattle Egret,鷺科 Ardeidae
印度池鷺,Ardeola grayii,Indian Pond-Heron,鷺科 Ardeidae
池鷺,Ardeola bacchus,Chinese Pond-Heron,鷺科 Ardeidae
爪哇池鷺,Ardeola speciosa,Javan Pond-Heron,鷺科 Ardeidae
綠簑鷺,Butorides striata,Striated Heron,鷺科 Ardeidae
夜鷺,Nycticorax nycticorax,Black-crowned Night-Heron,鷺科 Ardeidae
棕夜鷺,Nycticorax caledonicus,Rufous Night-Heron,鷺科 Ardeidae
麻鷺,Gorsachius goisagi,Japanese Night-Heron,鷺科 Ardeidae
黑冠麻鷺,Gorsachius melanolophus,Malayan Night-Heron,鷺科 Ardeidae
彩䴉,Plegadis falcinellus,Glossy Ibis,䴉科 Threskiornithidae
埃及聖䴉,Threskiornis aethiopicus,African Sacred Ibis,䴉科 Threskiornithidae
黑頭白䴉,Threskiornis melanocephalus,Black-headed Ibis,䴉科 Threskiornithidae
朱鷺,Nipponia nippon,Crested Ibis,䴉科 Threskiornithidae
白琵鷺,Platalea leucorodia,Eurasian Spoonbill,䴉科 Threskiornithidae
黑面琵鷺,Platalea minor,Black-faced Spoonbill,䴉科 Threskiornithidae
魚鷹,Pandion haliaetus,Osprey,鶚科 Pandionidae
黑翅鳶,Elanus caeruleus,Black-winged Kite,鷹科 Accipitridae
東方蜂鷹,Pernis ptilorhynchus,Oriental Honey-buzzard,鷹科 Accipitridae
黑冠鵑隼,Aviceda leuphotes,Black Baza,鷹科 Accipitridae
禿鷲,Aegypius monachus,Cinereous Vulture,鷹科 Accipitridae
大冠鷲,Spilornis cheela,Crested Serpent-Eagle,鷹科 Accipitridae
熊鷹,Nisaetus nipalensis,Mountain Hawk-Eagle,鷹科 Accipitridae
林鵰,Ictinaetus malaiensis,Black Eagle,鷹科 Accipitridae
花鵰,Clanga clanga,Greater Spotted Eagle,鷹科 Accipitridae
靴隼鵰,Hieraaetus pennatus,Booted Eagle,鷹科 Accipitridae
白肩鵰,Aquila heliaca,Imperial Eagle,鷹科 Accipitridae
白腹鵰,Aquila fasciata,Bonelli's Eagle,鷹科 Accipitridae
灰面鵟鷹,Butastur indicus,Gray-faced Buzzard,鷹科 Accipitridae
西方澤鵟,Circus aeruginosus,Eurasian Marsh-Harrier,鷹科 Accipitridae
東方澤鵟,Circus spilonotus,Eastern Marsh-Harrier,鷹科 Accipitridae
灰澤鵟,Circus cyaneus,Hen Harrier,鷹科 Accipitridae
花澤鵟,Circus melanoleucos,Pied Harrier,鷹科 Accipitridae
鳳頭蒼鷹,Accipiter trivirgatus,Crested Goshawk,鷹科 Accipitridae
赤腹鷹,Accipiter soloensis,Chinese Sparrowhawk,鷹科 Accipitridae
日本松雀鷹,Accipiter gularis,Japanese Sparrowhawk,鷹科 Accipitridae
松雀鷹,Accipiter virgatus,Besra,鷹科 Accipitridae
北雀鷹,Accipiter nisus,Eurasian Sparrowhawk,鷹科 Accipitridae
蒼鷹,Accipiter gentilis,Northern Goshawk,鷹科 Accipitridae
黑鳶,Milvus migrans,Black Kite,鷹科 Accipitridae
栗鳶,Haliastur indus,Brahminy Kite,鷹科 Accipitridae
白尾海鵰,Haliaeetus albicilla,White-tailed Eagle,鷹科 Accipitridae
白腹海鵰,Haliaeetus leucogaster,White-bellied Sea-Eagle,鷹科 Accipitridae
毛足鵟,Buteo lagopus,Rough-legged Hawk,鷹科 Accipitridae
東方鵟,Buteo japonicus,Eastern Buzzard,鷹科 Accipitridae
大鵟,Buteo hemilasius,Upland Buzzard,鷹科 Accipitridae
草鴞,Tyto longimembris,Australasian Grass-Owl,草鴞科 Tytonidae
黃嘴角鴞,Otus spilocephalus,Mountain Scops-Owl,鴟鴞科 Strigidae
領角鴞,Otus lettia,Collared Scops-Owl,鴟鴞科 Strigidae
蘭嶼角鴞,Otus elegans,Ryukyu Scops-Owl,鴟鴞科 Strigidae
東方角鴞,Otus sunia,Oriental Scops-Owl,鴟鴞科 Strigidae
黃魚鴞,Ketupa flavipes,Tawny Fish-Owl,鴟鴞科 Strigidae
鵂鶹,Glaucidium brodiei,Collared Owlet,鴟鴞科 Strigidae
縱紋腹小鴞,Athene noctua,Little Owl,鴟鴞科 Strigidae
褐林鴞,Strix leptogrammica,Brown Wood-Owl,鴟鴞科 Strigidae
東方灰林鴞,Strix nivicolum,Himalayan Owl,鴟鴞科 Strigidae
長耳鴞,Asio otus,Long-eared Owl,鴟鴞科 Strigidae
短耳鴞,Asio flammeus,Short-eared Owl,鴟鴞科 Strigidae
褐鷹鴞,Ninox japonica,Northern Boobook,鴟鴞科 Strigidae
戴勝,Upupa epops,Eurasian Hoopoe,戴勝科 Upupidae
翠鳥,Alcedo atthis,Common Kingfisher,翠鳥科 Alcedinidae
黑背三趾翠鳥,Ceyx erithaca,Black-backed Dwarf-Kingfisher,翠鳥科 Alcedinidae
赤背三趾翠鳥,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,翠鳥科 Alcedinidae
赤翡翠,Halcyon coromanda,Ruddy Kingfisher,翠鳥科 Alcedinidae
蒼翡翠,Halcyon smyrnensis,White-throated Kingfisher,翠鳥科 Alcedinidae
黑頭翡翠,Halcyon pileata,Black-capped Kingfisher,翠鳥科 Alcedinidae
白領翡翠,Todiramphus chloris,Collared Kingfisher,翠鳥科 Alcedinidae
斑翡翠,Ceryle rudis,Pied Kingfisher,翠鳥科 Alcedinidae
藍喉蜂虎,Merops viridis,Blue-throated Bee-eater,蜂虎科 Meropidae
藍頰蜂虎,Merops persicus,Blue-cheeked Bee-eater,蜂虎科 Meropidae
