id,fid,cname,ename,sname,shortname
101,8,董雞,Watercock,Gallicrex cinerea,"WATE,GACI"
102,8,白腹秧雞,White-breasted Waterhen,Amaurornis phoenicurus,"WBWA,AMPH"
103,8,白眉秧雞,White-browed Crake,Amaurornis cinerea,"WBCR,AMCI"
104,8,紅腳秧雞,Red-legged Crake,Rallina fasciata,"RLCR,RAFA"
105,8,灰腳秧雞,Slaty-legged Crake,Rallina eurizonoides,"SLCR,RAEU"
106,8,緋秧雞,Ruddy-breasted Crake,Zapornia fusca,"RBCR,ZAFU"
107,8,斑脇秧雞,Band-bellied Crake,Zapornia paykullii,"BBCR,ZAPA"
108,8,紅腳苦惡鳥,Brown Crake,Zapornia akool,"BRCR,ZAAK"
109,8,小秧雞,Baillon's Crake,Zapornia pusilla,"BACR,MACR,ZAPU"
110,9,簑羽鶴,Demoiselle Crane,Anthropoides virgo,"DECR,ANVI"
111,9,白鶴,Siberian Crane,Leucogeranus leucogeranus,"SICR,LELE"
112,9,沙丘鶴,Sandhill Crane,Antigone canadensis,"SACR,ANCA"
113,9,白枕鶴,White-naped Crane,Antigone vipio,"WNCR,ANVI"
114,9,灰鶴,Common Crane,Grus grus,"CCRA,COCR,GRGR"
115,9,白頭鶴,Hooded Crane,Grus monacha,"HOCR,GRMO"
116,9,丹頂鶴,Red-crowned Crane,Grus japonensis,"RCCR,GRJA"
117,10,高蹺鴴,Black-winged Stilt,Himantopus himantopus,"BWST,EBWS,HIHI"
118,10,反嘴鴴,Pied Avocet,Recurvirostra avosetta,"PIAV,REAV"
119,11,蠣鴴,Eurasian Oystercatcher,Haematopus ostralegus,"EUOY,HAOS"
120,12,灰斑鴴,Black-bellied Plover,Pluvialis squatarola,"BBPL,GRPL,PLSQ"
121,12,太平洋金斑鴴,Pacific Golden-Plover,Pluvialis fulva,"PAGP,KŌLE,PGPL,PLFU"
122,12,小辮鴴,Northern Lapwing,Vanellus vanellus,"NOLA,VAVA"
123,12,跳鴴,Gray-headed Lapwing,Vanellus cinereus,"GHLA,VACI"
124,12,蒙古鴴,Lesser Sand-Plover,Charadrius mongolus,"LSAP,LSPL,LESD,LSDO,LESP,CHMO"
125,12,鐵嘴鴴,Greater Sand-Plover,Charadrius leschenaultii,"GSAP,GSPL,GRSP,GRSD,GSDO,CHLE"
126,12,東方環頸鴴,Kentish Plover,Charadrius alexandrinus,"KEPL,CHAL"
127,12,環頸鴴,Common Ringed Plover,Charadrius hiaticula,"CRPL,RIPL,CHHI"
128,12,劍鴴,Long-billed Plover,Charadrius placidus,"LBPL,CHPL"
129,12,小環頸鴴,Little Ringed Plover,Charadrius dubius,"LRPL,CHDU"
130,12,東方紅胸鴴,Oriental Plover,Charadrius veredus,"ORPL,CHVE"
131,13,彩鷸,Greater Painted-Snipe,Rostratula benghalensis,"GPSN,GRPS,ROBE"
132,14,水雉,Pheasant-tailed Jacana,Hydrophasianus chirurgus,"PTJA,HYCH"
133,15,中杓鷸,Whimbrel,Numenius phaeopus,"WHIM,NUPH"
134,15,小杓鷸,Little Curlew,Numenius minutus,"LICU,LIWH,NUMI"
135,15,黦鷸,Far Eastern Curlew,Numenius madagascariensis,"FECU,EACU,NUMA"
136,15,大杓鷸,Eurasian Curlew,Numenius arquata,"EUCU,NUAR"
137,15,斑尾鷸,Bar-tailed Godwit,Limosa lapponica,"BTGO,LILA"
138,15,黑尾鷸,Black-tailed Godwit,Limosa limosa,"BTGD,BTGO,LILI"
139,15,翻石鷸,Ruddy Turnstone,Arenaria interpres,"RUTU,ARIN"
140,15,大濱鷸,Great Knot,Calidris tenuirostris,"GRKN,CATE"
141,15,紅腹濱鷸,Red Knot,Calidris canutus,"REKN,CACA"
142,15,流蘇鷸,Ruff,Calidris pugnax,"RUFF,CAPU"
143,15,寬嘴鷸,Broad-billed Sandpiper,Calidris falcinellus,"BBIS,BBSA,CAFA"
144,15,尖尾濱鷸,Sharp-tailed Sandpiper,Calidris acuminata,"SPTS,STSA,CAAC"
145,15,高蹺濱鷸,Stilt Sandpiper,Calidris himantopus,"STSA,CAHI"
146,15,彎嘴濱鷸,Curlew Sandpiper,Calidris ferruginea,"CUSA,CAFE"
147,15,丹氏濱鷸,Temminck's Stint,Calidris temminckii,"TEST,CATE"
148,15,長趾濱鷸,Long-toed Stint,Calidris subminuta,"LTST,CASU"
149,15,琵嘴鷸,Spoon-billed Sandpiper,Calidris pygmaea,"SBSA,CAPY"
150,15,紅胸濱鷸,Red-necked Stint,Calidris ruficollis,"RNST,CARU"
151,15,三趾濱鷸,Sanderling,Calidris alba,"SAND,HUNA,CAAL"
152,15,黑腹濱鷸,Dunlin,Calidris alpina,"DUNL,CAAL"
153,15,小濱鷸,Little Stint,Calidris minuta,"LIST,CAMI"
154,15,黃胸鷸,Buff-breasted Sandpiper,Calidris subruficollis,"BBSA,CASU"
155,15,美洲尖尾濱鷸,Pectoral Sandpiper,Calidris melanotos,"PESA,CAME"
156,15,西濱鷸,Western Sandpiper,Calidris mauri,"WESA,CAMA"
157,15,半蹼鷸,Asian Dowitcher,Limnodromus semipalmatus,"ASDO,LISE"
158,15,長嘴半蹼鷸,Long-billed Dowitcher,Limnodromus scolopaceus,"LBDO,LISC"
159,15,小鷸,Jack Snipe,Lymnocryptes minimus,"JASN,LYMI"
160,15,山鷸,Eurasian Woodcock,Scolopax rusticola,"EUWO,SCRU"
161,15,孤田鷸,Solitary Snipe,Gallinago solitaria,"SOSN,GASO"
162,15,大地鷸,Latham's Snipe,Gallinago hardwickii,"LASN,GAHA"
163,15,田鷸,Common Snipe,Gallinago gallinago,"COSN,GAGA"
164,15,針尾鷸,Pin-tailed Snipe,Gallinago stenura,"PTSN,PISN,GAST"
165,15,中地鷸,Swinhoe's Snipe,Gallinago megala,"SWSN,GAME"
166,15,反嘴鷸,Terek Sandpiper,Xenus cinereus,"TESA,XECI"
167,15,紅領瓣足鷸,Red-necked Phalarope,Phalaropus lobatus,"RNPH,PHLO"
168,15,灰瓣足鷸,Red Phalarope,Phalaropus fulicarius,"REPH,GRPH,PHFU"
169,15,磯鷸,Common Sandpiper,Actitis hypoleucos,"COSA,ACHY"
170,15,白腰草鷸,Green Sandpiper,Tringa ochropus,"GRSA,TROC"
171,15,黃足鷸,Gray-tailed Tattler,Tringa brevipes,"GTTA,TRBR"
172,15,美洲黃足鷸,Wandering Tattler,Tringa incana,"WATA,TRIN"
173,15,鶴鷸,Spotted Redshank,Tringa erythropus,"SPRE,TRER"
174,15,青足鷸,Common Greenshank,Tringa nebularia,"COMG,COGR,TRNE"
175,15,諾氏鷸,Nordmann's Greenshank,Tringa guttifer,"NOGR,TRGU"
176,15,小黃腳鷸,Lesser Yellowlegs,Tringa flavipes,"LEYE,TRFL"
177,15,小青足鷸,Marsh Sandpiper,Tringa stagnatilis,"MASA,TRST"
178,15,鷹斑鷸,Wood Sandpiper,Tringa glareola,"WOSA,TRGL"
179,15,赤足鷸,Common Redshank,Tringa totanus,"CREH,CORE,TRTO"
180,16,林三趾鶉,Small Buttonquail,Turnix sylvaticus,"COBU,SMBU,TUSY"
181,16,黃腳三趾鶉,Yellow-legged Buttonquail,Turnix tanki,"YLBU,TUTA"
182,16,棕三趾鶉,Barred Buttonquail,Turnix suscitator,"BABU,TUSU"
183,17,燕鴴,Oriental Pratincole,Glareola maldivarum,"ORPR,GLMA"
184,18,灰賊鷗,South Polar Skua,Stercorarius maccormicki,"SPSK,STMA"
185,18,中賊鷗,Pomarine Jaeger,Stercorarius pomarinus,"POJA,POSK,STPO"
186,18,短尾賊鷗,Parasitic Jaeger,Stercorarius parasiticus,"PAJA,ARJA,ARSK,STPA"
187,18,長尾賊鷗,Long-tailed Jaeger,Stercorarius longicaudus,"LTJA,LTSK,STLO"
188,19,崖海鴉,Common Murre,Uria aalge,"COMU,URAA"
189,19,扁嘴海雀,Ancient Murrelet,Synthliboramphus antiquus,"ANMU,SYAN"
190,19,冠海雀,Japanese Murrelet,Synthliboramphus wumizusume,"JAMU,SYWU"
191,20,三趾鷗,Black-legged Kittiwake,Rissa tridactyla,"BLKI,RITR"
192,20,叉尾鷗,Sabine's Gull,Xema sabini,"SAGU,XESA"
193,20,黑嘴鷗,Saunders's Gull,Saundersilarus saundersi,"SAGU,SASA"
194,20,細嘴鷗,Slender-billed Gull,Chroicocephalus genei,"SBGU,CHGE"
195,20,澳洲紅嘴鷗,Silver Gull,Chroicocephalus novaehollandiae,"SIGU,CHNO"
196,20,紅嘴鷗,Black-headed Gull,Chroicocephalus ridibundus,"BHGU,CBHG,CHRI"
197,20,棕頭鷗,Brown-headed Gull,Chroicocephalus brunnicephalus,"BHGU,CHBR"
198,20,小鷗,Little Gull,Hydrocoloeus minutus,"LIGU,HYMI"
199,20,笑鷗,Laughing Gull,Leucophaeus atricilla,"LAGU,LEAT"
200,20,弗氏鷗,Franklin's Gull,Leucophaeus pipixcan,"FRGU,LEPI"
201,20,遺鷗,Relict Gull,Ichthyaetus relictus,"REGU,ICRE"
202,20,漁鷗,Pallas's Gull,Ichthyaetus ichthyaetus,"PAGU,GBHG,ICIC"
203,20,黑尾鷗,Black-tailed Gull,Larus crassirostris,"BTGU,LACR"
204,20,海鷗,Mew Gull,Larus canus,"MEGU,COGU,LACA"
205,20,銀鷗,Herring Gull,Larus argentatus,"HERG,AHHG,HEGU,LAAR"
206,20,小黑背鷗,Lesser Black-backed Gull,Larus fuscus,"LBBG,LAFU"
207,20,灰背鷗,Slaty-backed Gull,Larus schistisagus,"SBGU,LASC"
208,20,北極鷗,Glaucous Gull,Larus hyperboreus,"GLGU,LAHY"
209,20,玄燕鷗,Brown Noddy,Anous stolidus,"BRNO,NOKŌ,CONO,ANST"
210,20,黑玄燕鷗,Black Noddy,Anous minutus,"BLNO,NOIO,ANMI"
211,20,烏領燕鷗,Sooty Tern,Onychoprion fuscatus,"SOTE,ONFU"
212,20,白眉燕鷗,Bridled Tern,Onychoprion anaethetus,"BRTE,ONAN"
213,20,白腰燕鷗,Aleutian Tern,Onychoprion aleuticus,"ALTE,ONAL"
214,20,小燕鷗,Little Tern,Sternula albifrons,"LITE,STAL"
215,20,鷗嘴燕鷗,Gull-billed Tern,Gelochelidon nilotica,"GBTE,GENI"
216,20,裏海燕鷗,Caspian Tern,Hydroprogne caspia,"CATE,HYCA"
217,20,黑浮鷗,Black Tern,Chlidonias niger,"BLTE,CHNI"
218,20,白翅黑燕鷗,White-winged Tern,Chlidonias leucopterus,"WWTE,WWBT,CHLE"
219,20,黑腹燕鷗,Whiskered Tern,Chlidonias hybrida,"WHST,WHTE,CHHY"
220,20,紅燕鷗,Roseate Tern,Sterna dougallii,"ROST,ROTE,STDO"
221,20,蒼燕鷗,Black-naped Tern,Sterna sumatrana,"BNTE,STSU"
222,20,燕鷗,Common Tern,Sterna hirundo,"COTE,STHI"
223,20,鳳頭燕鷗,Great Crested Tern,Thalasseus bergii,"GCTE,SWTE,CRTE,THBE"
224,20,白嘴端燕鷗,Sandwich Tern,Thalasseus sandvicensis,"SATE,THSA"
225,20,小鳳頭燕鷗,Lesser Crested Tern,Thalasseus bengalensis,"LCTE,THBE"
226,20,黑嘴端鳳頭燕鷗,Chinese Crested Tern,Thalasseus bernsteini,"CCTE,THBE"
227,21,白尾熱帶鳥,White-tailed Tropicbird,Phaethon lepturus,"WTTR,PHLE"
228,21,紅嘴熱帶鳥,Red-billed Tropicbird,Phaethon aethereus,"RBTR,PHAE"
229,21,紅尾熱帶鳥,Red-tailed Tropicbird,Phaethon rubricauda,"RTTR,PHRU"
230,22,紅喉潛鳥,Red-throated Loon,Gavia stellata,"RTLO,GAST"
231,22,黑喉潛鳥,Arctic Loon,Gavia arctica,"ARLO,GAAR"
232,22,太平洋潛鳥,Pacific Loon,Gavia pacifica,"PALO,GAPA"
233,22,白嘴潛鳥,Yellow-billed Loon,Gavia adamsii,"YBLO,GAAD"
234,23,黑背信天翁,Laysan Albatross,Phoebastria immutabilis,"LAAL,PHIM"
235,23,黑腳信天翁,Black-footed Albatross,Phoebastria nigripes,"BFAL,PHNI"
236,23,短尾信天翁,Short-tailed Albatross,Phoebastria albatrus,"STAL,PHAL"
237,24,白腰叉尾海燕,Leach's Storm-Petrel,Oceanodroma leucorhoa,"LSPE,OCLE"
238,24,黑叉尾海燕,Swinhoe's Storm-Petrel,Oceanodroma monorhis,"SSTP,SWSP,SSPE,OCMO"
239,24,褐翅叉尾海燕,Tristram's Storm-Petrel,Oceanodroma tristrami,"TSPE,OCTR"
240,25,暴風鸌,Northern Fulmar,Fulmarus glacialis,"NOFU,FUGL"
241,25,白腹穴鳥,Bonin Petrel,Pterodroma hypoleuca,"BOPE,PTHY"
242,25,穴鳥,Bulwer's Petrel,Bulweria bulwerii,"BUPE,BUBU"
243,25,黑背白腹穴鳥,Tahiti Petrel,Pseudobulweria rostrata,"TAPE,PSRO"
244,25,大水薙鳥,Streaked Shearwater,Calonectris leucomelas,"STRS,STSH,CALE"
245,25,肉足水薙鳥,Flesh-footed Shearwater,Ardenna carneipes,"FFSH,ARCA"
246,25,長尾水薙鳥,Wedge-tailed Shearwater,Ardenna pacifica,"WTSH,ARPA"
247,25,灰水薙鳥,Sooty Shearwater,Ardenna grisea,"SOSH,ARGR"
248,25,短尾水薙鳥,Short-tailed Shearwater,Ardenna tenuirostris,"STTS,STSH,ARTE"
249,26,黑鸛,Black Stork,Ciconia nigra,"BLST,CINI"
250,26,東方白鸛,Oriental Stork,Ciconia boyciana,"ORST,CIBO"
251,27,白斑軍艦鳥,Lesser Frigatebird,Fregata ariel,"LEFR,FRAR"
252,27,軍艦鳥,Great Frigatebird,Fregata minor,"GREF,GRFR,FRMI"
253,28,藍臉鰹鳥,Masked Booby,Sula dactylatra,"MABO,SUDA"
254,28,白腹鰹鳥,Brown Booby,Sula leucogaster,"BRBO,SULE"
255,28,紅腳鰹鳥,Red-footed Booby,Sula sula,"RFBO,SUSU"
256,29,海鸕鷀,Pelagic Cormorant,Phalacrocorax pelagicus,"PECO,PHPE"
257,29,鸕鷀,Great Cormorant,Phalacrocorax carbo,"GRCO,BLSH,GBCO,WBCO,PHCA"
258,29,丹氏鸕鷀,Japanese Cormorant,Phalacrocorax capillatus,"JACO,PHCA"
259,30,卷羽鵜鶘,Dalmatian Pelican,Pelecanus crispus,"DAPE,PECR"
260,31,大麻鷺,Great Bittern,Botaurus stellaris,"EUBI,GRBI,BOST"
261,31,黃小鷺,Yellow Bittern,Ixobrychus sinensis,"YEBI,IXSI"
262,31,秋小鷺,Schrenck's Bittern,Ixobrychus eurhythmus,"VSBI,SCBI,IXEU"
263,31,栗小鷺,Cinnamon Bittern,Ixobrychus cinnamomeus,"CIBI,IXCI"
264,31,黃頸黑鷺,Black Bittern,Ixobrychus flavicollis,"BLBI,IXFL"
265,31,蒼鷺,Gray Heron,Ardea cinerea,"GRAH,GRHE,ARCI"
266,31,紫鷺,Purple Heron,Ardea purpurea,"PUHE,ARPU"
267,31,大白鷺,Great Egret,Ardea alba,"GREG,WHHE,GWEG,ARAL"
268,31,中白鷺,Intermediate Egret,Ardea intermedia,"INEG,YBEG,ARIN"
269,31,白臉鷺,White-faced Heron,Egretta novaehollandiae,"WFHE,EGNO"
270,31,唐白鷺,Chinese Egret,Egretta eulophotes,"CHEG,EGEU"
271,31,小白鷺,Little Egret,Egretta garzetta,"LIEG,EGGA"
272,31,岩鷺,Pacific Reef-Heron,Egretta sacra,"PRHE,PARH,REHE,EREG,EGSA"
273,31,白頸黑鷺,Pied Heron,Egretta picata,"PIHE,EGPI"
274,31,黃頭鷺,Cattle Egret,Bubulcus ibis,"CAEG,WCEG,BUIB"
275,31,印度池鷺,Indian Pond-Heron,Ardeola grayii,"IPHE,ARGR"
276,31,池鷺,Chinese Pond-Heron,Ardeola bacchus,"CHPH,CPHE,ARBA"
277,31,爪哇池鷺,Javan Pond-Heron,Ardeola speciosa,"JPHE,JAPH,ARSP"
278,31,綠簑鷺,Striated Heron,Butorides striata,"STRH,STHE,GBHE,BUST"
279,31,夜鷺,Black-crowned Night-Heron,Nycticorax nycticorax,"BCNH,NYNY"
280,31,棕夜鷺,Rufous Night-Heron,Nycticorax caledonicus,"NNHE,NANH,RUNH,RNHE,NYCA"
281,31,麻鷺,Japanese Night-Heron,Gorsachius goisagi,"JNHE,JANH,GOGO"
282,31,黑冠麻鷺,Malayan Night-Heron,Gorsachius melanolophus,"MANH,MNHE,GOME"
283,32,彩䴉,Glossy Ibis,Plegadis falcinellus,"GLIB,PLFA"
284,32,埃及聖䴉,African Sacred Ibis,Threskiornis aethiopicus,"ASIB,SAIB,THAE"
285,32,黑頭白䴉,Black-headed Ibis,Threskiornis melanocephalus,"BHIB,THME"
286,32,朱鷺,Crested Ibis,Nipponia nippon,"CRIB,NINI"
287,32,白琵鷺,Eurasian Spoonbill,Platalea leucorodia,"EURS,EUSP,PLLE"
288,32,黑面琵鷺,Black-faced Spoonbill,Platalea minor,"BFSP,PLMI"
289,33,魚鷹,Osprey,Pandion haliaetus,"OSPR,WEOS,PAHA"
290,34,黑翅鳶,Black-winged Kite,Elanus caeruleus,"BWKI,ABSK,ELCA"
291,34,東方蜂鷹,Oriental Honey-buzzard,Pernis ptilorhynchus,"OHBU,ORHB,CRHB,CHBU,PEPT"
292,34,黑冠鵑隼,Black Baza,Aviceda leuphotes,"BLBA,AVLE"
293,34,禿鷲,Cinereous Vulture,Aegypius monachus,"BLVU,CIVU,AEMO"
294,34,大冠鷲,Crested Serpent-Eagle,Spilornis cheela,"CRSE,CSEA,SPCH"
295,34,熊鷹,Mountain Hawk-Eagle,Nisaetus nipalensis,"MHEA,MOHE,NINI"
296,34,林鵰,Black Eagle,Ictinaetus malaiensis,"BLEA,ICMA"
297,34,花鵰,Greater Spotted Eagle,Clanga clanga,"GSEA,CLCL"
298,34,靴隼鵰,Booted Eagle,Hieraaetus pennatus,"BOEA,HIPE"
299,34,白肩鵰,Imperial Eagle,Aquila heliaca,"EIEA,IMEA,AQHE"
300,34,白腹鵰,Bonelli's Eagle,Aquila fasciata,"BOEA,AQFA"
301,34,灰面鵟鷹,Gray-faced Buzzard,Butastur indicus,"GFBU,BUIN"
302,34,西方澤鵟,Eurasian Marsh-Harrier,Circus aeruginosus,"EMHA,CIAE"
303,34,東方澤鵟,Eastern Marsh-Harrier,Circus spilonotus,"EMHA,EAMH,CISP"
304,34,灰澤鵟,Hen Harrier,Circus cyaneus,"HEHA,CICY"
305,34,花澤鵟,Pied Harrier,Circus melanoleucos,"PIHA,CIME"
306,34,鳳頭蒼鷹,Crested Goshawk,Accipiter trivirgatus,"CRGO,ACTR"
307,34,赤腹鷹,Chinese Sparrowhawk,Accipiter soloensis,"CHIS,CHSP,ACSO"
